146  ALL-INDIA  RAINFALL (1871-2016),,,,,,,,,,,,,,,,,
30 SUBDIVISIONS AREA 2880324 SQ.KM.,,,,,,,,,,,,,,,,,
"Monthly,Seasonal and Annual rainfall (in 10th of mm) 1871-2016 (1871-2014 based on 306  stations and 2015-2016 based on IMD Subdivisional rainfall)",,,,,,,,,,,,,,,,,
YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JF,MAM,JJAS,OND,ANN
1871,196,107,145,339,636,2080,2778,1794,1836,368,324,67,303,1120,8487,758,10670
1872,76,75,73,240,438,1892,2913,2452,1879,785,276,191,151,751,9136,1252,11289
1873,37,135,150,243,428,1130,2645,2142,1656,607,115,90,172,821,7573,812,9378
1874,86,158,107,169,683,2279,3069,2335,2062,932,187,40,244,959,9745,1159,12106
1875,99,114,131,232,506,1926,3079,2187,2105,566,63,71,213,869,9297,700,11078
1876,9,21,160,165,425,1233,2968,1956,1620,464,95,25,30,750,7776,584,9141
1877,291,234,240,353,674,1424,1564,1569,1483,1078,189,365,525,1267,6040,1632,9464
1878,108,91,102,361,665,1304,2940,3393,2124,798,273,140,199,1128,9761,1211,12299
1879,21,107,80,82,877,1900,2241,3221,1616,866,205,71,127,1039,8978,1142,11287
1880,39,165,151,211,496,1876,2717,1768,1840,877,528,111,204,858,8201,1516,10779
1881,13,32,331,237,531,1607,2927,2646,1433,493,347,62,45,1099,8613,902,10658
1882,100,94,90,188,596,2130,3311,1903,1685,739,596,62,194,873,9029,1397,11493
1883,179,36,189,165,621,2043,2690,1879,1881,830,282,155,215,975,8492,1267,10949
1884,71,74,82,203,383,1593,2924,2426,2385,866,270,305,145,668,9328,1441,11582
1885,96,99,136,199,528,1940,2728,2479,1327,737,321,502,195,863,8474,1560,11092
1886,49,12,222,124,711,1977,3159,2218,1390,1320,214,171,61,1057,8744,1705,11567
1887,176,6,148,209,552,1898,3013,2574,1508,879,411,130,182,909,8993,1420,11503
1888,197,136,119,259,531,1323,2743,2800,1250,382,531,72,333,908,8116,985,10342
1889,106,134,66,243,448,2035,2797,2781,1693,940,254,68,240,757,9306,1262,11565
1890,26,11,173,261,358,2279,3009,2141,1626,647,351,136,37,792,9055,1134,11017
1891,115,134,348,207,595,834,2571,2297,2222,602,173,71,249,1150,7924,846,10169
1892,53,106,56,329,541,1579,3139,3063,2135,993,126,70,159,926,9916,1189,12190
1893,224,283,467,252,946,2416,2568,2309,2256,970,642,22,506,1665,9549,1634,13354
1894,115,144,181,248,360,2168,3114,2415,2017,1388,385,137,259,789,9714,1910,12672
1895,109,77,118,376,415,1982,2567,2299,1388,793,134,119,185,908,8236,1046,10377
1896,31,61,68,170,412,2034,2845,2633,773,149,435,175,92,650,8284,759,9786
1897,92,124,208,216,435,1426,2599,2905,1981,856,130,18,215,859,8911,1004,10990
1898,21,307,28,211,375,1717,2929,2208,1992,655,393,125,328,614,8846,1173,10961
1899,58,66,74,522,526,1951,1878,1441,1020,507,41,26,124,1122,6290,574,8109
1900,153,67,103,385,406,1287,2521,2713,2372,490,104,141,220,893,8893,735,10742
1901,274,337,113,316,391,1149,2225,2590,1256,540,431,95,611,820,7220,1066,9717
