,SAMCMIP5_0.95,SAMCMIP5_0.05,SAMCMIP6_0.95,SAMCMIP6_0.05,SAMMIROC6_0.05,SAMMIROC6_0.95,STATIONS,NCEP,ERA20c,NOAA
1930-12-31,-0.15,-0.81,-0.19,-0.89,-0.25,-0.63,,,-2.13,-1.17
1931-12-31,-0.18,-0.81,-0.17,-0.92,-0.24,-0.66,,,-2.07,-1.16
1932-12-31,-0.19,-0.8,-0.18,-0.92,-0.27,-0.67,,,-2.08,-1.15
1933-12-31,-0.2,-0.85,-0.17,-0.93,-0.25,-0.68,,,-2.06,-1.13
1934-12-31,-0.25,-0.85,-0.14,-0.89,-0.25,-0.65,,,-2.07,-1.12
1935-12-31,-0.22,-0.82,-0.14,-0.89,-0.25,-0.64,,,-2.08,-1.14
1936-12-31,-0.2,-0.8,-0.15,-0.89,-0.24,-0.61,,,-1.99,-1.12
1937-12-31,-0.23,-0.79,-0.16,-0.91,-0.23,-0.6,,,-1.94,-1.13
1938-12-31,-0.19,-0.81,-0.16,-0.9,-0.23,-0.58,,,-1.86,-1.11
1939-12-31,-0.19,-0.79,-0.15,-0.89,-0.24,-0.57,,,-1.74,-1.03
1940-12-31,-0.19,-0.75,-0.15,-0.89,-0.25,-0.57,,,-1.72,-1.02
1941-12-31,-0.23,-0.74,-0.17,-0.87,-0.23,-0.56,,,-1.66,-0.98
1942-12-31,-0.24,-0.75,-0.14,-0.84,-0.19,-0.54,,,-1.55,-0.94
1943-12-31,-0.23,-0.75,-0.14,-0.88,-0.19,-0.54,,,-1.56,-0.95
1944-12-31,-0.23,-0.78,-0.15,-0.87,-0.2,-0.54,,,-1.49,-0.92
1945-12-31,-0.24,-0.79,-0.13,-0.87,-0.21,-0.54,,,-1.47,-0.88
1946-12-31,-0.24,-0.77,-0.14,-0.86,-0.21,-0.54,,,-1.4,-0.83
1947-12-31,-0.24,-0.81,-0.18,-0.86,-0.22,-0.55,,,-1.38,-0.81
1948-12-31,-0.2,-0.76,-0.18,-0.84,-0.2,-0.54,,,-1.32,-0.76
1949-12-31,-0.19,-0.76,-0.17,-0.86,-0.17,-0.55,,,-1.27,-0.74
1950-12-31,-0.2,-0.73,-0.15,-0.85,-0.18,-0.56,,,-1.31,-0.8
1951-12-31,-0.19,-0.75,-0.18,-0.84,-0.18,-0.57,,,-1.3,-0.79
1952-12-31,-0.19,-0.72,-0.2,-0.82,-0.18,-0.56,,,-1.3,-0.79
1953-12-31,-0.19,-0.67,-0.15,-0.82,-0.2,-0.55,,,-1.24,-0.76
1954-12-31,-0.18,-0.67,-0.16,-0.81,-0.18,-0.55,,,-1.25,-0.77
