,CMIP5_0.95,CMIP5_0.05,CMIP6_0.95,CMIP6_0.05,MIROC6_0.95,MIROC6_0.05,CORDEX_0.95,CORDEX_0.05,CSIR_0.95,CSIR_0.05,STATIONS,GPCC_V2018,CRU_4.03
1915-12-31,,,,,,,,,,,,,
1916-12-31,,,,,,,,,,,,,
1917-12-31,,,,,,,,,,,,,
1918-12-31,,,,,,,,,,,,,
1919-12-31,,,,,,,,,,,,,
1920-12-31,,,,,,,,,,,,,
1921-12-31,,,,,,,,,,,,,
1922-12-31,,,,,,,,,,,,,
1923-12-31,,,,,,,,,,,,,
1924-12-31,,,,,,,,,,,,,
1925-12-31,,,,,,,,,,,,,
1926-12-31,,,,,,,,,,,,,
1927-12-31,,,,,,,,,,,,,
1928-12-31,,,,,,,,,,,,,
1929-12-31,,,,,,,,,,,,,
1930-12-31,10.69,-1.71,13.81,-0.82,10.24,-1.84,,,,,,-5.39,-0.95
1931-12-31,10.51,-1.72,14.34,-0.6,11.3,-1.68,,,,,,-5.52,-1.08
1932-12-31,10.47,-2.0,14.07,-1.15,12.89,-2.62,,,,,,-5.74,-1.71
1933-12-31,11.8,-1.78,14.69,-1.8,13.41,-2.87,,,,,,-6.46,-2.69
1934-12-31,11.51,-1.42,14.28,-1.59,12.8,-2.65,,,,,,-6.51,-2.9
1935-12-31,11.53,-1.54,14.4,-2.04,11.7,-3.16,,,,,,-6.41,-2.56
1936-12-31,11.21,-1.89,13.34,-2.41,12.68,-3.55,,,,,,-6.83,-3.14
1937-12-31,11.32,-1.85,13.15,-2.46,13.0,-3.56,,,,,,-6.62,-3.67
1938-12-31,10.85,-2.69,12.66,-2.16,13.12,-3.49,,,,,,-5.73,-2.86
1939-12-31,10.51,-1.86,12.41,-2.35,12.86,-4.07,,,,,,-5.72,-3.02
1940-12-31,9.71,-1.14,12.69,-2.74,13.34,-3.92,,,,,,-3.86,-1.3
1941-12-31,9.89,-2.34,13.04,-2.53,13.71,-3.79,,,,,,-3.8,-1.18
1942-12-31,10.0,-2.63,13.22,-2.61,13.15,-3.31,,,,,,-3.11,-0.42
1943-12-31,9.86,-3.17,13.28,-2.82,13.21,-3.67,,,,,,-1.0,1.65
1944-12-31,9.68,-3.8,12.91,-2.59,13.44,-4.12,,,,,,-0.61,1.98
1945-12-31,9.03,-3.7,13.23,-2.09,12.94,-4.57,,,,,,0.3,2.8
1946-12-31,9.85,-3.0,12.75,-2.44,10.33,-4.41,,,,,,0.13,2.73
1947-12-31,10.03,-3.81,12.18,-2.62,10.58,-3.85,,,,,,0.18,2.61
1948-12-31,10.25,-3.88,11.94,-2.35,9.99,-3.44,,,,,-3.14,1.35,3.96
1949-12-31,9.58,-3.65,12.33,-2.08,9.83,-4.22,,,,,-3.21,1.25,3.86
1950-12-31,11.2,-3.1,12.85,-1.91,11.16,-3.81,,,,,-2.81,1.43,4.1
1951-12-31,10.61,-3.51,12.06,-1.4,11.55,-3.87,,,,,-2.93,1.42,4.03
1952-12-31,11.84,-3.48,12.5,-1.63,11.57,-3.97,,,,,-2.88,1.5,3.97
1953-12-31,12.06,-3.85,12.76,-2.44,11.63,-4.97,,,,,-3.13,1.44,3.54
1954-12-31,10.27,-3.48,12.24,-2.67,11.79,-4.98,,,,,-2.33,1.97,4.16
1955-12-31,10.54,-4.2,12.56,-2.25,11.77,-4.53,,,,,-2.65,1.85,3.8
1956-12-31,9.82,-4.47,12.46,-3.12,11.93,-4.84,,,,,-2.58,2.04,4.09
1957-12-31,10.02,-4.62,12.64,-3.23,12.6,-5.42,,,,,-5.33,-0.39,1.59
1958-12-31,8.81,-3.95,12.33,-3.52,10.85,-4.99,,,,,-6.15,-1.56,0.34
1959-12-31,9.28,-4.47,12.83,-3.2,10.41,-5.1,,,,,-6.84,-2.26,-0.49
1960-12-31,9.01,-4.58,12.94,-4.08,11.74,-4.89,,,,,-6.43,-2.05,-0.61
1961-12-31,8.9,-5.53,12.71,-4.35,11.77,-4.71,,,,,-7.37,-2.55,-0.96
1962-12-31,8.3,-5.78,12.4,-3.87,11.9,-5.35,,,,,-6.51,-1.62,-0.06
1963-12-31,8.26,-4.92,11.81,-3.83,11.94,-5.08,,,,,-3.68,0.17,2.04
1964-12-31,8.22,-4.63,10.9,-4.67,11.86,-5.07,,,,,-4.31,-0.6,1.03
1965-12-31,8.81,-4.15,10.68,-4.43,12.25,-4.72,,,,,-3.84,-0.72,0.62
1966-12-31,8.55,-3.68,10.99,-3.99,13.05,-4.59,4.75,-4.35,,,-4.49,-1.03,0.48
1967-12-31,9.41,-3.48,10.93,-3.94,12.02,-4.25,4.25,-4.47,,,-3.91,-2.02,0.29
1968-12-31,9.26,-3.28,10.4,-3.11,11.87,-3.88,4.16,-4.39,,,-4.27,-2.8,-0.49
1969-12-31,8.76,-3.33,10.1,-4.04,11.98,-4.33,4.82,-3.95,,,-4.2,-2.98,-0.87
1970-12-31,7.96,-3.53,9.96,-3.49,10.84,-4.35,4.76,-4.58,,,-5.39,-3.95,-1.67
1971-12-31,7.64,-3.69,9.72,-4.12,10.4,-4.64,3.52,-5.29,,,-5.37,-4.22,-1.93
1972-12-31,7.37,-4.01,9.36,-3.54,10.08,-4.5,4.85,-5.02,,,-5.02,-4.28,-2.05
1973-12-31,6.72,-3.22,9.88,-2.99,10.47,-4.39,5.78,-4.44,,,-6.16,-5.18,-2.73
1974-12-31,6.44,-2.91,9.07,-3.04,9.35,-4.84,4.46,-4.75,,,-5.79,-5.08,-2.55
1975-12-31,7.1,-3.19,8.65,-3.48,9.2,-4.54,4.17,-4.03,8.71,-1.63,-5.63,-4.9,-2.04
1976-12-31,6.83,-3.48,8.74,-3.34,8.31,-5.25,4.79,-3.99,7.67,-2.17,-4.16,-3.84,-0.93
1977-12-31,6.73,-3.96,7.33,-3.11,8.2,-4.89,4.98,-4.43,8.16,-2.25,-3.52,-3.25,-0.42
1978-12-31,6.86,-3.85,7.63,-3.06,8.88,-4.51,4.86,-4.1,7.04,-3.19,-4.3,-4.21,-1.51
1979-12-31,6.62,-2.97,7.58,-3.32,8.03,-4.26,4.07,-3.36,6.24,-4.55,-3.24,-3.17,-0.42
1980-12-31,6.48,-3.75,7.54,-3.17,7.59,-3.76,4.59,-3.56,5.76,-4.58,-3.17,-3.12,-0.47
1981-12-31,5.8,-3.07,7.29,-3.18,7.57,-4.56,5.28,-3.22,6.57,-3.58,-2.89,-2.79,0.17
1982-12-31,5.09,-2.93,6.91,-2.73,7.02,-4.2,4.73,-3.96,7.15,-3.41,-1.2,-1.1,1.97
1983-12-31,4.95,-3.43,5.79,-2.59,6.57,-3.9,4.29,-2.2,6.68,-2.55,-0.86,-1.3,1.94
1984-12-31,4.95,-2.96,5.29,-2.17,6.28,-3.93,4.78,-3.12,6.79,-3.07,-1.47,-1.84,1.59
1985-12-31,4.39,-3.73,4.81,-2.23,5.52,-4.14,5.75,-2.57,5.89,-2.13,-1.17,-1.66,2.29
1986-12-31,3.94,-3.23,4.82,-2.17,4.33,-3.48,4.99,-3.18,5.62,-1.79,-1.32,-2.41,1.12
1987-12-31,4.3,-2.67,4.26,-2.34,4.07,-2.69,3.71,-3.12,4.64,-0.93,0.1,-0.56,2.79
1988-12-31,3.43,-2.41,3.55,-2.0,4.0,-2.87,4.5,-3.52,4.48,-1.71,1.24,0.75,3.64
1989-12-31,3.09,-2.34,3.41,-1.59,3.33,-2.49,4.19,-3.15,3.99,-0.98,1.42,1.02,3.42
1990-12-31,2.88,-2.34,3.35,-1.93,3.56,-2.28,3.63,-2.94,2.58,-0.71,-0.29,-0.18,2.21
1991-12-31,3.19,-1.72,3.39,-2.69,3.1,-1.7,4.28,-2.25,1.94,-0.57,-0.44,-0.26,1.62
1992-12-31,2.72,-2.04,3.42,-2.67,2.5,-2.17,3.75,-2.47,1.88,-1.04,-0.91,-1.28,0.76
1993-12-31,2.14,-1.19,2.82,-1.95,2.28,-2.31,3.16,-2.87,2.46,-1.25,-2.72,-1.85,-0.33
1994-12-31,2.25,-0.9,1.55,-1.59,2.02,-1.63,2.37,-1.83,0.85,-0.95,-1.02,-0.38,0.79
1995-12-31,1.32,-0.62,1.24,-0.93,1.63,-1.14,2.18,-1.34,0.31,-0.44,-0.42,0.29,0.96
1996-12-31,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0
1997-12-31,1.5,-1.02,0.77,-1.2,1.77,-1.26,1.55,-1.17,0.41,-0.71,-1.4,-0.7,-0.7
1998-12-31,1.64,-1.95,1.83,-2.37,3.2,-1.86,2.02,-0.87,0.79,-0.91,-0.82,-0.7,-0.48
1999-12-31,3.01,-2.41,1.36,-3.25,2.22,-2.33,0.85,-1.36,0.43,-1.6,-0.29,-0.42,-0.44
2000-12-31,3.01,-2.77,1.94,-4.46,2.36,-2.63,0.57,-2.44,1.62,-1.75,-0.01,-0.74,-1.04
2001-12-31,3.02,-3.14,2.36,-4.11,2.81,-3.08,0.74,-3.01,1.19,-1.66,-1.43,-1.9,-2.25
2002-12-31,2.87,-3.05,2.05,-4.17,2.75,-3.78,1.31,-2.84,1.59,-2.75,-2.26,-2.46,-3.27
2003-12-31,1.79,-3.71,2.0,-4.2,3.66,-3.69,0.69,-2.96,0.42,-1.93,-4.12,,-5.46
2004-12-31,2.12,-4.53,2.52,-4.54,3.84,-3.95,1.33,-3.73,-0.25,-2.72,-4.17,,-5.82
2005-12-31,2.09,-4.85,2.33,-5.51,3.32,-4.41,1.25,-4.1,0.11,-3.29,,,
2006-12-31,2.03,-4.81,1.96,-5.51,3.56,-4.21,1.01,-4.32,0.95,-3.25,,,
2007-12-31,2.31,-4.68,1.63,-5.13,4.14,-4.15,0.63,-5.11,1.42,-3.86,,,
2008-12-31,3.6,-5.65,1.6,-5.97,4.13,-4.37,0.38,-5.0,1.28,-4.54,,,
2009-12-31,2.76,-6.54,1.37,-6.91,3.48,-4.99,0.73,-5.96,1.53,-3.11,,,
2010-12-31,2.62,-7.3,2.19,-7.29,3.6,-5.02,1.65,-7.36,1.52,-3.35,,,
2011-12-31,2.89,-7.03,1.85,-8.65,3.38,-6.0,1.0,-8.75,1.73,-3.48,,,
2012-12-31,3.62,-7.81,2.37,-9.79,4.19,-6.89,1.67,-9.52,2.44,-3.49,,,
2013-12-31,4.1,-7.89,2.36,-8.48,4.11,-6.98,2.19,-10.56,1.81,-3.13,,,
2014-12-31,5.98,-8.46,2.47,-8.87,4.33,-7.69,1.62,-11.1,2.17,-3.7,,,
2015-12-31,6.05,-7.89,2.27,-8.45,4.59,-8.64,2.49,-10.65,2.28,-4.72,,,
2016-12-31,5.9,-7.48,2.57,-9.18,3.82,-8.57,3.08,-10.37,1.64,-5.37,,,
2017-12-31,5.65,-8.2,2.32,-10.27,4.33,-8.6,4.36,-9.85,1.8,-5.8,,,
2018-12-31,6.17,-8.53,2.18,-10.54,4.66,-8.28,5.26,-10.72,1.49,-6.63,,,
2019-12-31,5.75,-9.07,1.97,-10.79,4.41,-8.91,5.52,-10.78,0.82,-8.09,,,
2020-12-31,5.58,-10.03,1.25,-10.71,3.77,-9.62,4.44,-11.37,0.6,-8.62,,,
2021-12-31,4.87,-10.55,1.18,-10.96,3.8,-9.78,4.79,-12.84,1.08,-8.87,,,
2022-12-31,4.03,-10.73,0.67,-10.64,4.17,-10.0,4.06,-12.07,0.87,-9.0,,,
2023-12-31,4.01,-10.95,1.27,-10.76,4.95,-10.2,3.76,-12.68,-1.52,-10.0,,,
2024-12-31,4.48,-11.03,0.89,-10.15,5.52,-10.21,1.65,-12.94,-1.7,-10.0,,,
2025-12-31,6.14,-10.77,0.39,-10.62,4.71,-10.32,2.37,-14.29,-1.43,-11.24,,,
2026-12-31,6.02,-10.01,0.19,-11.32,5.49,-10.54,1.83,-14.48,-2.13,-12.14,,,
2027-12-31,6.05,-10.57,-0.04,-11.95,4.69,-10.34,1.16,-14.23,-1.68,-12.83,,,
2028-12-31,6.54,-11.19,-0.44,-12.34,4.02,-10.96,1.43,-14.52,-1.24,-13.38,,,
2029-12-31,4.72,-11.49,-0.36,-12.83,3.8,-11.12,2.01,-14.91,-2.07,-14.75,,,
2030-12-31,3.83,-12.59,-1.86,-12.77,3.87,-11.61,1.54,-13.81,-2.54,-16.25,,,
2031-12-31,4.59,-13.87,-2.42,-13.56,4.65,-11.46,1.07,-14.23,-1.89,-16.6,,,
2032-12-31,3.72,-13.2,-1.78,-14.34,4.42,-11.17,1.24,-15.04,-2.52,-16.71,,,
2033-12-31,2.51,-13.52,-1.89,-13.85,3.09,-11.78,0.43,-16.37,-3.51,-16.56,,,
2034-12-31,2.93,-14.41,-2.19,-14.03,3.2,-12.31,0.15,-16.49,-3.11,-16.18,,,
2035-12-31,3.23,-15.25,-2.22,-14.78,3.56,-12.15,0.22,-17.42,-2.27,-16.07,,,
2036-12-31,1.93,-16.3,-1.97,-14.87,3.74,-12.23,0.82,-19.08,-3.27,-17.65,,,
2037-12-31,2.96,-17.34,-2.8,-15.01,3.57,-11.99,0.66,-19.36,-3.11,-18.14,,,
2038-12-31,2.5,-17.34,-2.74,-14.9,2.65,-12.2,0.0,-19.51,-3.92,-17.58,,,
2039-12-31,1.21,-18.14,-2.65,-14.96,1.63,-12.77,-0.25,-20.16,-5.88,-18.55,,,
