diff|berkeley
-0.031|1
-0.028|1
-0.027|1
-0.025|1
-0.024|2
-0.023|2
-0.022|3
-0.021|6
-0.020|5
-0.019|7
-0.018|7
-0.017|9
-0.016|11
-0.015|12
-0.014|19
-0.013|29
-0.012|90
-0.011|174
-0.010|228
-0.009|267
-0.008|327
-0.007|549
-0.006|730
-0.005|739
-0.004|703
-0.003|804
-0.002|755
-0.001|743
0.000|809
0.001|917
0.002|1099
0.003|1371
0.004|1410
0.005|1283
0.006|1153
0.007|850
0.008|607
0.009|528
0.010|426
0.011|417
0.012|309
0.013|218
0.014|142
0.015|147
0.016|185
0.017|236
0.018|198
0.019|123
0.020|80
0.021|24
0.022|15
0.023|5
0.024|3
0.025|7
0.026|19
0.027|21
0.028|17
0.029|5
0.030|1
0.046|2
0.047|5
0.048|7
0.049|3
0.052|3
0.053|1
0.054|1
0.060|2
0.061|1
0.075|2
0.076|3
