year,Tokyo (Urban),Choshi (Rural),Tmax_Tokyo,Tmax_Choshi,Tmin_Tokyo,Tmin_Choshi
1887,13.78333,15.38333,23.84167,23.36667,4.8,6.575
1888,13.525,14.33333,23.675,23.26667,4.275,5.833333
1889,13.28333,14.775,24.11667,23.65833,4.283333,6.916667
1890,15.01667,16.56667,26.29167,25.49167,5.05,7.833333
1891,14.4,15.68333,25.14167,24.525,4.858333,6.85
1892,14.04167,15.3,25.13333,24.45833,4.541667,6.325
1893,13.775,14.54167,24.25833,23.66667,3.725,4.216667
1894,14.775,15.50833,25.29167,23.98333,5.908333,6.766667
1895,13.84167,14.8,24.61667,23.78333,5.291667,5.883333
1896,14.025,14.75833,24.93333,23.68333,4.7,5.325
1897,13.175,14.21667,24.35,22.85833,4.283333,5.758333
1898,13.95833,14.575,24.80833,22.59167,5.666667,6.666667
1899,13.825,14.64167,23.74167,22.76667,5.125,7.25
1900,13.575,14.23333,25.26667,22.525,4.908333,6.625
1901,13.85,14.6,24.85833,22.59167,4.241667,6.433333
1902,13.73333,14.65833,24.825,22.86667,4.483333,6.933333
1903,13.69167,14.36667,23.625,22.30833,4.966667,7.275
1904,13.74167,14.38333,24.49167,22.325,4.733333,6.616667
1905,13.49167,13.98333,23.86667,21.94167,5.375,6.341667
1906,13.14167,13.69167,24.08333,22.13333,4.508333,5.5
1907,13.49167,14.03333,23.88333,21.84167,4.258333,6.316667
1908,13.23333,14.21667,24.40833,22.54167,4.491667,6.291667
1909,13.575,14.65,24.79167,22.60833,5.033333,6.175
1910,13.48333,14.5,24,22.34167,4.758333,6.825
1911,14.41667,15.275,24.775,23.39167,5.458333,7.5
1912,13.9,14.69167,25.40833,23.14167,4.691667,7
1913,13.375,14.225,24.075,23.06667,4.575,6.091667
1914,14.65833,15.31667,25.525,23.74167,5.2,7.766667
1915,14.19167,14.90833,25.225,23.225,5,7.066667
1916,14.48333,15.6,25.775,23.375,5.258333,7.925
1917,13.63333,14.15,24.6,22.85833,4.383333,7.333333
1918,13.78333,14.18333,24.66667,22.175,4.808333,6.866667
1919,14.05,14.78333,24.725,22.84167,4.775,6.975
1920,14.15,15.125,24.34167,23.375,6.216667,8.075
1921,13.60833,14.90833,24.81667,22.43333,4.7,7.566667
1922,14.44167,15.28333,26.08333,23.425,5.175,7.675
1923,14.23333,14.91667,25.45,23.89167,4.791667,7.216667
1924,13.98333,14.86667,25.00833,22.55833,5.116667,7.516667
1925,13.825,14.675,24.36667,22.23333,3.925,7.15
1926,13.61667,13.70833,24.825,23.175,3.741667,6.008333
1927,14.11667,14.68333,25.6,22.88333,4.683333,7.283333
1928,14.13333,14.55833,25.16667,23.23333,4.875,6.991667
1929,14.275,14.69167,26.15833,23.88333,4.5,6.408333
1930,14.825,15.69167,25.31667,23.44167,6.125,8.3
1931,13.98333,14.70833,25.43333,22.79167,4.583333,6.575
1932,14.56667,15.025,25.075,22.79167,5.708333,7.708333
1933,14.69167,15.13333,25.36667,23.175,5.75,7.583333
1934,13.9,14.11667,25,22.83333,4.8,7.116667
1935,14.125,14.28333,25.21667,22.88333,5.083333,6.933333
1936,14.11667,14.08333,25.475,22.50833,4.375,6.658333
1937,14.85833,15.4,26.19167,23.46667,5.925,7.866667
1938,14.53333,15.025,25.14167,23.74167,5.416667,7.675
1939,14.66667,15.09167,24.79167,23.04167,5.366667,7.208333
1940,14.775,14.775,26.15833,23.48333,5.641667,7.391667
1941,14.55833,15.00833,25.875,23.75,5.216667,7.3
1942,15.01667,15.60833,25.975,23.3,5.4,7.666667
1943,14.575,14.44167,25.125,23.38333,5.991667,7.175
1944,14.18333,13.78333,24.95,22.875,5.816667,6.958333
1945,13.56667,13.50833,24.65833,21.85833,4.516667,5.825
1946,14.9,15.25,26.55,23.79167,5.958333,7.741667
1947,14.05833,14.15,25.3,22.45,4.566667,6.641667
1948,15.15833,15.63333,25.70833,23.41667,6.5,8.316667
1949,14.575,14.85,25.10833,22.36667,5.383333,7.5
1950,15.09167,15.4,26.35833,23.19167,6.408333,7.141667
1951,14.73333,14.98333,25.75833,22.63333,5.858333,7.241667
1952,14.61667,15.13333,25.26667,22.95833,6.266667,7.575
1953,14.59167,15,25.90833,24.19167,5.741667,7.3
1954,14.775,15.275,25.43333,23.33333,6.666667,7.541667
1955,15.49167,15.8,26.04167,23.825,6.733333,7.2
1956,14.70833,14.81667,26.31667,23.70833,5.591667,6.75
