X;ID;dataSetName;archiveType;siteName;latitude;longitude;elevation;region;country;startYear;endYear
[ID1]_Mayotte_[Col1]_Mayotte_d18O;1;Mayotte;coral;Mayotte_DJFMAM; -12.65000000;  45.10000;    0.0;Indian Ocean;Kenya;  1865;1993
[ID2]_Seychelles_[Col1]_Seychelles_d18O;2;Seychelles;coral;Seychelles_DJFMAM;  -4.61666667;  55.80000;    0.0;Indian Ocean;Seychelles;  1846;1995
[ID4]_Moorea_[Col1]_Moorea_d18O;4;Moorea;coral;Moorea; -17.50000000;-149.83333;    0.0;Pacific Ocean;French Polynesia;  1852;1990
[ID10]_Rodrigues_SrCa_[Col1]_Rodrigues_SrCa;10;Rodrigues_SrCa;coral;Rodrigues Sr/Ca_DJFMAM; -19.00000000;  63.00000;    0.0;Indian Ocean;Other;  1781;2005
[ID11]_Malindi_Kenya_[Col1]_Malindi_d18O;11;Malindi_Kenya;coral;Malindi;  -3.00000000;  40.00000;    0.0;Indian Ocean;Kenya;  1801;1994
[ID13]_Mafia_[Col1]_Mafia_d18O;13;Mafia;coral;Mafia, Tanzania DJFMAM;  -8.00000000;  40.00000;    0.0;Indian Ocean;Tanzania;  1622;1998
[ID14]_Madang_[Col1]_Madang_d18O;14;Madang;coral;Madang Lagoon_DJFMAM;  -5.21666667; 145.81667;    0.0;Australasia;Papua New Guinea;  1880;1993
[ID16]_Linsley_7_[Col1]_Rarotonga_d18O;16;Linsley_7;coral;Rarotonga d18O_DJFMAM; -21.23333333;-159.83333;    0.0;Pacific Ocean;Cook Island;  1726;1996
[ID17]_Linsley_6_[Col1]_Rarotonga_SrCa;17;Linsley_6;coral;Rarotonga SrCa_DJFMAM; -21.23333333;-159.83333;    0.0;Pacific Ocean;Cook Island;  1726;1996
[ID24]_Savusavu_d18O_[Col1]_Savusavu_d18O;24;Savusavu_d18O;coral;Savusavu, Fiji d18O; -16.81666667; 179.23333;   -2.0;Pacific Ocean;Fiji;  1776;2001
[ID26]_Rabaul_SrCa_[Col1]_Rabaul_SrCa;26;Rabaul_SrCa;coral;Rabaul Sr/Ca_DJFMAM;  -4.00000000; 152.00000;    0.0;Australasia;Papua New Guinea;  1867;1997
[ID27]_Rarotonga_3R_[Col1]_Rarotonga.3R_d18O;27;Rarotonga_3R;coral;Rarotonga 3R_DJFMAM; -21.23333333;-159.83333;    0.0;Pacific Ocean;Cook Island;  1874;2000
[ID31]_Rodrigues_d18O_[Col1]_Rodrigues_18O_Yr;31;Rodrigues_d18O;coral;Rodrigues d18O; -19.00000000;  63.00000;    0.0;Indian Ocean;Other;  1789;2005
[ID32]_Rabaul_d18O_[Col1]_Rabaul_d18O;32;Rabaul_d18O;coral;Rabaul d18O_DJFMAM;  -4.00000000; 152.00000;    0.0;Australasia;Papua New Guinea;  1867;1997
