X;ID;dataSetName;archiveType;siteName;latitude;longitude;elevation;region;country;startYear;endYear
[ID36]_Fiji_AB_d18O_[Col1]_Fiji_AB_d18O;36;Fiji_AB_d18O;coral;Fiji AB d18O DJFMAM; -16.81666667; 179.23333;  -10.0;Pacific Ocean;Fiji;  1617;2001
[ID37]_Fiji_1F_SrCa_[Col1]_Fiji_1F_SrCa;37;Fiji_1F_SrCa;coral;Fiji 1F SrCa DJFMAM; -16.81666667; 179.23333;  -10.0;Pacific Ocean;Fiji;  1780;1997
[ID81]_Prieto_8_[Col1]_Santa Fe and Corrientes Precipitation_1;81;Prieto_8;documents;Santa Fe and Corrientes Precipitation; -30.00000000; -60.00000;    0.0;South America;Argentina;  1590;1805
[ID85]_Garcia-Herrera_1_[Col1]_Combined_Garcia.Herrera_Quinn_ENSO;85;Garcia-Herrera_1;documents;Area de Trujillo;  -8.10000000; -79.01667;    0.0;South America;Peru;  1550;1900
[ID93]_Southern_Cape_precip_[Col1]_Southern Cape South Africa_1;93;Southern_Cape_precip;documents;Southern Cape South Africa; -34.00000000;  20.00000;NA;Africa;South Africa;  1821;1900
[ID104]_Siple_Dome_B_[Col1]_Siple_DOME_B;104;Siple_Dome_B;ice core;Siple Dome B; -81.65000000;-148.80000;  615.0;Antarctica;Antarctica;  1654;1994
[ID105]_Law_Dome_Chem_[Col4]_Ca.uEq.l.;105;Law_Dome_Chem;ice core;Law Dome chemical data; -66.83333333; 112.83333; 1370.0;Antarctica;Antarctica;  1297;1995
[ID116]_Graf_1_[Col2]_DML_1000_Accumulation;116;Graf_1;ice core;Dronning Maud Land; -75.00000000;   0.00000; 2900.0;Antarctica;Antarctica;  1025;1997
[ID123]_WDC05Q_Acc_[Col1]_WDC05Q;123;WDC05Q_Acc;ice core;WDC05Q Accumulation; -79.45000000;-112.08333; 1759.0;Antarctica;Antarctica;  1521;2004
[ID202]_chil008_[Col6]_chil008_Signalfree_2;202;chil008;tree;VOLCAN LONQUIMAY; -38.38333333; -71.56667; 1510.0;South America;Chile;  1664;1975
[ID311]_NI_LIBI_Composite_1_[Col6]_NI_LIBI_Composite_1_Signalfree_2;311;NI_LIBI_Composite_1;tree;NI LIBI Composite 1; -39.50000000; 175.50000; 1100.0;Australasia;New Zealand;  1517;1992
[ID348]_TR_Cluster_CAN8_[Col6]_C.Andes_Cluster_10B_Data_Signalfree_2;348;TR_Cluster_CAN8;tree;CAN8_Cluster; -39.16666667; -71.16667; 1125.0;South America;Argentina;  1562;1989
[ID350]_NT_Callitris_[Col6]_NT_Signalfree_2;350;NT_Callitris;tree;NT Callitris; -13.00000000; 132.00000;NA;Australasia;Australia;  1847;2006
[ID361]_Pink_Pine_NZ_[Col6]_New_Fenwick_Composite_Signalfree_2;361;Pink_Pine_NZ;tree;Pink Pine NZ; -42.00000000; 172.00000;NA;Australasia;New Zealand;  1400;1999
[ID410]_TR_Cluster_CAN10_[Col6]_C.Andes_Cluster_8_Data_Signalfree_2;410;TR_Cluster_CAN10;tree;CAN10_Cluster; -39.50000000; -70.83333; 1320.0;South America;Argentina;  1508;1989
[ID427]_TR_Cluster_CAN3_[Col6]_C.Andes_Cluster_7B_Data_Signalfree_2;427;TR_Cluster_CAN3;tree;CAN3_Cluster; -38.00000000; -71.25000; 1570.0;South America;Argentina;  1375;1975
[ID431]_Mangawhero_NZ_[Col6]_MANGAWE_Signalfree_2;431;Mangawhero_NZ;tree;Mangawhero; -39.35000000; 175.48333; 1000.0;Australasia;New Zealand;  1437;1994
[ID435]_TR_Cluster_CAN6_[Col6]_C.Andes_Cluster_5N_Data_Signalfree_2;435;TR_Cluster_CAN6;tree;CAN6_Cluster; -38.50000000; -71.50000; 1400.0;South America;Argentina;  1140;2006
