Year;Cor reconstruction;Cor & Stat reconstruction;Sign Test reconstruction;Abram reconstruction;Cor reconstruction 30yr filtered;Cor & Stat reconstruction 30yr filtered;Sign Test reconstruction 30yr filtered;Abram reconstruction 30yr filtered;Target SAM (Fogt);Target SAM (Fogt) 30yr filtered
1000;-0.9115;-0.8253;-1.2855;-1.2855;NA;NA;NA;NA;NA;NA
1001;0.104;0.3047;-1.361;-0.7015;NA;NA;NA;NA;NA;NA
1002;0.454;0.5322;-0.6465;-0.2905;NA;NA;NA;NA;NA;NA
1003;0.076;0.1587;-0.326;-0.1975;NA;NA;NA;NA;NA;NA
1004;0.004;-0.0303;0.249;-0.0785;NA;NA;NA;NA;NA;NA
1005;-0.8685;-0.7968;-0.253;-0.8015;NA;NA;NA;NA;NA;NA
1006;0.22;0.2267;0.6265;-0.135;NA;NA;NA;NA;NA;NA
1007;0.7085;0.6127;0.9285;0.1145;NA;NA;NA;NA;NA;NA
1008;0.215;0.1247;0.381;-0.0525;NA;NA;NA;NA;NA;NA
1009;0.457;0.3887;0.3985;-0.073;NA;NA;NA;NA;NA;NA
1010;0.522;0.5092;-0.086;-0.068;NA;NA;NA;NA;NA;NA
1011;0.594;0.6387;-0.292;0.158;NA;NA;NA;NA;NA;NA
1012;-0.3895;-0.1748;-0.981;-0.3025;NA;NA;NA;NA;NA;NA
1013;-0.352;-0.1918;-0.577;-0.3145;NA;NA;NA;NA;NA;NA
1014;-0.7345;-0.6478;-0.6185;-0.242;NA;NA;NA;NA;NA;NA
1015;0.778;0.9172;-0.082;0.6235;0.0073;0.0441;-0.2754;-0.0683;NA;NA
1016;-0.2245;-0.2158;-0.452;-0.0065;-0.0725;-0.0366;-0.2802;-0.1165;NA;NA
1017;-0.5705;-0.6618;-0.249;-0.368;-0.184;-0.1512;-0.2686;-0.1913;NA;NA
1018;-1.1605;-1.0648;-1.0145;-1.2145;-0.2968;-0.2673;-0.2524;-0.2687;NA;NA
1019;0.657;0.6027;-0.0255;-0.054;-0.3804;-0.3524;-0.2431;-0.3246;NA;NA
1020;0.916;0.8882;0.82;0.528;-0.4325;-0.4055;-0.2233;-0.3569;NA;NA
1021;0.7565;0.5982;0.921;0.693;-0.4756;-0.451;-0.1824;-0.3842;NA;NA
1022;-1.395;-1.3843;-0.1865;-0.934;-0.5163;-0.4937;-0.1429;-0.4131;NA;NA
1023;-2.051;-1.9538;-0.967;-1.2115;-0.5613;-0.5388;-0.1271;-0.4501;NA;NA
1024;-1.1035;-1.0438;-0.274;-1.1615;-0.625;-0.5959;-0.1483;-0.5009;NA;NA
1025;-1.1495;-1.0083;-0.4135;-1.067;-0.7049;-0.6627;-0.1923;-0.5613;NA;NA
1026;-0.396;-0.3243;-0.1525;-0.507;-0.7814;-0.7262;-0.2405;-0.6228;NA;NA
1027;-0.955;-0.8338;-0.853;-0.833;-0.8353;-0.7733;-0.2746;-0.677;NA;NA
1028;-0.707;-0.6698;0.072;-0.225;-0.871;-0.8078;-0.3109;-0.7425;NA;NA
1029;-0.199;-0.1833;0.108;0.1815;-0.9019;-0.8381;-0.3642;-0.8254;NA;NA
1030;0.1275;0.1987;-0.278;0.107;-0.9208;-0.8583;-0.4131;-0.8987;NA;NA
1031;-0.4465;-0.4868;-0.208;-0.6725;-0.9209;-0.8619;-0.4362;-0.9353;NA;NA
1032;-1.4735;-1.3683;-0.746;-1.496;-0.8845;-0.8368;-0.4205;-0.9318;NA;NA
1033;-2.229;-2.0938;-0.7295;-1.8005;-0.8164;-0.7878;-0.3802;-0.9098;NA;NA
1034;-1.472;-1.4313;-0.7165;-1.5955;-0.7441;-0.7347;-0.3353;-0.8794;NA;NA
1035;0.257;0.2272;0.1705;-0.6995;-0.6947;-0.6973;-0.306;-0.8509;NA;NA
1036;-1.117;-1.0998;-0.652;-1.6625;-0.6569;-0.6662;-0.2821;-0.8107;NA;NA
1037;-1.4415;-1.5603;-0.481;-1.4315;-0.6091;-0.6255;-0.2485;-0.7497;NA;NA
1038;0.2615;0.3247;-0.369;-0.2865;-0.5631;-0.5849;-0.2176;-0.6854;NA;NA
1039;0.3545;0.2557;0.3325;0.386;-0.5306;-0.5542;-0.2019;-0.6351;NA;NA
1040;-0.873;-0.8898;-0.4525;-0.1495;-0.4934;-0.5139;-0.1963;-0.5673;NA;NA
1041;-0.8065;-0.8448;-0.2495;-0.7465;-0.4402;-0.4542;-0.1899;-0.4644;NA;NA
1042;0.5445;0.4062;0.6025;0.219;-0.3935;-0.3997;-0.1862;-0.3644;NA;NA
1043;0.604;0.5337;0.626;0.4645;-0.3759;-0.375;-0.1887;-0.3058;NA;NA
1044;-1.2785;-1.2348;-0.389;-0.865;-0.4147;-0.4034;-0.2041;-0.3053;NA;NA
1045;-0.7325;-0.6413;-0.1805;-0.41;-0.4973;-0.47;-0.2322;-0.3384;NA;NA
1046;-1.0925;-0.9558;-0.9315;-0.779;-0.5857;-0.5419;-0.2659;-0.3809;NA;NA
1047;-1.223;-0.9668;-1.411;-0.96;-0.6419;-0.586;-0.2983;-0.4088;NA;NA
1048;0.275;0.2517;-0.519;0.0185;-0.6724;-0.6058;-0.3438;-0.4311;NA;NA
1049;-0.0745;-0.0428;-0.042;-0.1665;-0.7061;-0.6264;-0.4082;-0.467;NA;NA
1050;-0.8255;-0.7923;0.012;-0.5355;-0.7387;-0.6476;-0.4724;-0.5074;NA;NA
1051;-1.3925;-1.3723;-0.0865;-0.8335;-0.766;-0.6689;-0.5172;-0.5435;NA;NA
