Year;Cor reconstruction;Cor & Stat reconstruction;Abram reconstruction;Cor reconstruction 30yr filtered;Cor & Stat reconstruction 30yr filtered;Abram reconstruction 30yr filtered;Target SAM (Marshall);Target SAM (Marshall) 30yr filtered
1000;-0.2314;-0.6332;-1.1779;NA;NA;NA;NA;NA
1001;0.2351;0.1798;-0.5054;NA;NA;NA;NA;NA
1002;0.4356;0.2952;-0.3264;NA;NA;NA;NA;NA
1003;-0.3469;-0.0157;-0.4389;NA;NA;NA;NA;NA
1004;-0.3869;-0.2027;-0.5389;NA;NA;NA;NA;NA
1005;-0.5894;-0.6422;-1.0709;NA;NA;NA;NA;NA
1006;0.5956;-8e-04;-0.5139;NA;NA;NA;NA;NA
1007;0.2451;0.2708;-0.2299;NA;NA;NA;NA;NA
1008;0.0956;0.0262;-0.4334;NA;NA;NA;NA;NA
1009;0.0531;0.1328;-0.3709;NA;NA;NA;NA;NA
1010;0.0121;0.2942;-0.2014;NA;NA;NA;NA;NA
1011;-0.1509;0.4128;-0.0364;NA;NA;NA;NA;NA
1012;-0.3184;-0.0922;-0.2739;NA;NA;NA;NA;NA
1013;0.2061;-0.1648;-0.3694;NA;NA;NA;NA;NA
1014;-0.1529;-0.4932;-0.5274;NA;NA;NA;NA;NA
1015;0.8181;0.5448;0.3146;-0.0129;-0.0313;-0.3156;NA;NA
1016;0.0621;-0.1498;-0.3654;-0.0837;-0.0924;-0.3769;NA;NA
1017;-0.5039;-0.6058;-0.8174;-0.1912;-0.1816;-0.4731;NA;NA
1018;-0.7934;-0.8558;-1.2754;-0.2967;-0.2724;-0.5725;NA;NA
1019;0.1646;0.3752;-0.2354;-0.3617;-0.3384;-0.6437;NA;NA
1020;0.2376;0.4472;0.1236;-0.3938;-0.3802;-0.6932;NA;NA
1021;0.3811;0.2812;-0.0094;-0.424;-0.4178;-0.7457;NA;NA
1022;-1.2814;-1.0883;-1.3109;-0.4475;-0.4531;-0.7961;NA;NA
1023;-1.6139;-1.3808;-1.6279;-0.4599;-0.4882;-0.8396;NA;NA
1024;-0.8974;-0.8858;-1.3624;-0.4489;-0.5284;-0.8793;NA;NA
1025;-0.7739;-0.8198;-1.3474;-0.4169;-0.5731;-0.9189;NA;NA
1026;-0.3159;-0.3878;-0.8009;-0.3807;-0.615;-0.9547;NA;NA
1027;-0.3944;-0.6162;-0.9714;-0.3572;-0.6469;-0.9828;NA;NA
1028;-0.2424;-0.6312;-0.7384;-0.3308;-0.6708;-1.0076;NA;NA
1029;0.3066;-0.2032;-0.3594;-0.2859;-0.6912;-1.031;NA;NA
1030;1.2396;0.0882;-0.1979;-0.2393;-0.7044;-1.0455;NA;NA
1031;0.2096;-0.4158;-0.9039;-0.208;-0.7067;-1.0439;NA;NA
1032;-0.6199;-1.0762;-1.4814;-0.1944;-0.6911;-1.0171;NA;NA
1033;-0.8744;-1.6038;-1.6894;-0.1877;-0.6604;-0.9712;NA;NA
1034;-0.8049;-1.1038;-1.4224;-0.1853;-0.6268;-0.9214;NA;NA
1035;0.3431;0.0068;-0.5074;-0.1843;-0.602;-0.8826;NA;NA
1036;-0.6304;-0.8828;-1.3669;-0.2004;-0.5795;-0.846;NA;NA
1037;-1.0659;-1.2512;-1.5679;-0.237;-0.5496;-0.7993;NA;NA
1038;0.4016;0.1763;-0.1694;-0.2736;-0.5194;-0.7529;NA;NA
1039;0.4116;0.1118;0.0606;-0.2897;-0.496;-0.7174;NA;NA
1040;-0.4899;-0.7002;-0.5499;-0.2673;-0.4634;-0.6755;NA;NA
1041;-0.6979;-0.7497;-0.8419;-0.219;-0.4145;-0.6166;NA;NA
1042;0.0686;0.1128;-0.1399;-0.1698;-0.3695;-0.5616;NA;NA
1043;0.2861;0.2178;0.0541;-0.1449;-0.3489;-0.531;NA;NA
1044;-0.5774;-0.9237;-1.0204;-0.1454;-0.3689;-0.5408;NA;NA
1045;-0.4219;-0.5092;-0.6784;-0.1532;-0.4165;-0.5785;NA;NA
1046;-0.2054;-0.6718;-0.9159;-0.1653;-0.4684;-0.6221;NA;NA
1047;-0.1074;-0.6038;-0.9484;-0.1783;-0.5009;-0.6499;NA;NA
1048;0.4606;0.1318;-0.2704;-0.1877;-0.5168;-0.6667;NA;NA
1049;0.1171;-0.2442;-0.5154;-0.1956;-0.5341;-0.6895;NA;NA
1050;-0.3404;-0.7163;-0.7904;-0.2092;-0.5523;-0.7143;NA;NA
1051;-0.7399;-1.1188;-1.0574;-0.2356;-0.5712;-0.7372;NA;NA
1052;-0.5764;-1.1388;-1.1029;-0.2898;-0.5978;-0.7641;NA;NA
1053;-0.3564;-0.6722;-0.7814;-0.3672;-0.6324;-0.7972;NA;NA
1054;-0.6584;-0.7062;-0.7219;-0.4462;-0.6635;-0.8268;NA;NA
1055;-0.1389;-0.2162;-0.3844;-0.5051;-0.6798;-0.8434;NA;NA
1056;-0.1474;-0.3702;-0.5924;-0.5558;-0.6758;-0.8528;NA;NA
1057;-0.1139;-0.2002;-0.5454;-0.615;-0.6593;-0.8631;NA;NA
1058;-0.7049;-0.5192;-0.8509;-0.6691;-0.6393;-0.8677;NA;NA
1059;-0.6524;-0.4542;-0.8744;-0.704;-0.625;-0.8599;NA;NA
1060;-1.1329;-1.2632;-1.3534;-0.7147;-0.597;-0.8292;NA;NA
