Year;Cor reconstruction;Cor & Stat reconstruction;Sign Test reconstruction;Villalba reconstruction;Cor reconstruction 30yr filtered;Cor & Stat reconstruction 30yr filtered;Sign Test reconstruction 30yr filtered;Villalba reconstruction 30yr filtered;Target SAM (Fogt);Target SAM (Fogt) 30yr filtered
1000;-3.1622;-3.9471;-2.2406;NA;NA;NA;NA;NA;NA;NA
1001;0.1678;-1.1801;1.3379;NA;NA;NA;NA;NA;NA;NA
1002;1.6918;0.8654;2.2319;NA;NA;NA;NA;NA;NA;NA
1003;2.0563;0.8499;2.8279;NA;NA;NA;NA;NA;NA;NA
1004;1.2253;0.0414;1.5584;NA;NA;NA;NA;NA;NA;NA
1005;0.9273;-0.4651;2.7189;NA;NA;NA;NA;NA;NA;NA
1006;1.7893;0.1614;2.7264;NA;NA;NA;NA;NA;NA;NA
1007;-0.5127;-1.1676;0.3754;NA;NA;NA;NA;NA;NA;NA
1008;0.2393;-1.4506;2.8729;NA;NA;NA;NA;NA;NA;NA
1009;-0.1387;-0.7081;0.7264;NA;NA;NA;NA;NA;NA;NA
1010;0.1348;-0.3356;0.8959;NA;NA;NA;NA;NA;NA;NA
1011;-0.9502;-0.8036;-1.3311;NA;NA;NA;NA;NA;NA;NA
1012;-1.6152;-1.3656;-2.9701;NA;NA;NA;NA;NA;NA;NA
1013;-1.5757;0.1429;-2.3531;NA;NA;NA;NA;NA;NA;NA
1014;0.0663;1.1319;4e-04;NA;NA;NA;NA;NA;NA;NA
1015;0.7698;1.0804;1.8289;NA;-0.306;0.0333;-0.3195;NA;NA;NA
1016;-1.5812;-1.4511;-1.4141;NA;-0.1999;0.0905;-0.1532;NA;NA;NA
1017;-0.1487;0.0459;-0.6396;NA;-0.0123;0.1611;0.1511;NA;NA;NA
1018;0.0188;0.0684;0.6129;NA;0.1879;0.2198;0.4943;NA;NA;NA
1019;1.3698;0.9469;2.6399;NA;0.332;0.2415;0.7769;NA;NA;NA
1020;2.6588;1.8774;3.1219;NA;0.4503;0.2021;1.0786;NA;NA;NA
1021;0.1938;-0.1626;0.4434;NA;0.5956;0.1166;1.4794;NA;NA;NA
1022;0.3728;-0.6196;0.5559;NA;0.7334;0.0193;1.8799;NA;NA;NA
1023;0.5978;0.7794;1.5244;NA;0.8289;-0.0554;2.181;NA;NA;NA
1024;-0.2402;-1.1136;1.0914;NA;0.8817;-0.1287;2.4197;NA;NA;NA
1025;1.5313;-0.1806;3.9464;NA;0.9149;-0.2282;2.67;NA;NA;NA
1026;0.5558;-1.6391;4.5304;NA;0.9292;-0.3298;2.8876;NA;NA;NA
1027;1.6983;0.5214;4.2184;NA;0.9255;-0.4094;3.0286;NA;NA;NA
1028;-0.3382;-2.0116;1.6429;NA;0.9025;-0.4735;3.1172;NA;NA;NA
1029;1.1638;0.2139;3.0624;NA;0.8605;-0.54;3.1882;NA;NA;NA
1030;1.0213;0.2629;1.3129;NA;0.8017;-0.6011;3.2129;NA;NA;NA
1031;1.0948;-0.0026;3.5264;NA;0.7288;-0.6494;3.1629;NA;NA;NA
1032;0.9223;-1.0956;4.4949;NA;0.6046;-0.6906;2.9748;NA;NA;NA
1033;0.5823;-1.0046;3.5024;NA;0.4259;-0.7291;2.665;NA;NA;NA
1034;0.3388;-0.9486;2.5074;NA;0.2458;-0.7556;2.3241;NA;NA;NA
1035;1.1793;0.0929;3.5499;NA;0.1173;-0.7606;2.0426;NA;NA;NA
1036;-0.6257;-1.0701;0.9339;NA;0.0084;-0.7331;1.7271;NA;NA;NA
1037;-0.2607;-1.1276;2.5614;NA;-0.1249;-0.6819;1.303;NA;NA;NA
1038;0.2093;-0.0311;0.1834;NA;-0.2479;-0.6271;0.8889;NA;NA;NA
1039;-1.6142;-1.7146;-1.6336;NA;-0.3257;-0.589;0.6039;NA;NA;NA
1040;-1.1052;-1.1891;0.0174;NA;-0.3669;-0.5559;0.3834;NA;NA;NA
1041;-0.5597;0.0459;0.5669;NA;-0.3972;-0.5099;0.1323;NA;NA;NA
1042;-1.4572;-1.6281;-0.5396;NA;-0.4074;-0.4624;-0.0761;NA;NA;NA
1043;-0.0322;0.2539;-0.4016;NA;-0.3882;-0.4246;-0.1687;NA;NA;NA
1044;0.1623;0.2154;-0.9516;NA;-0.2993;-0.3913;-0.0655;NA;NA;NA
1045;2.1213;1.6979;1.7984;NA;-0.1422;-0.3528;0.1888;NA;NA;NA
1046;-0.0217;0.2454;-1.1396;NA;0.0299;-0.3135;0.4801;NA;NA;NA
1047;-0.3052;-0.7156;1.0754;NA;0.1633;-0.2782;0.6941;NA;NA;NA
1048;-0.3092;-1.3591;0.2439;NA;0.2848;-0.2521;0.8983;NA;NA;NA
1049;0.0298;-0.6951;1.7869;NA;0.4343;-0.2354;1.1841;NA;NA;NA
1050;0.2403;-0.7356;1.3974;NA;0.578;-0.2248;1.473;NA;NA;NA
1051;-0.3297;-1.3026;1.5479;NA;0.6822;-0.217;1.6862;NA;NA;NA
1052;1.2508;-0.6911;3.8899;NA;0.7518;-0.223;1.8578;NA;NA;NA
1053;1.2743;0.6899;1.0814;NA;0.8121;-0.2444;2.0471;NA;NA;NA
1054;2.4363;0.5399;5.0134;NA;0.8595;-0.2643;2.2133;NA;NA;NA
1055;0.4988;0.5364;1.6509;NA;0.8904;-0.2657;2.3158;NA;NA;NA
1056;1.7048;1.2084;1.9089;NA;0.9036;-0.2357;2.3384;NA;NA;NA
1057;0.5973;-0.7536;-0.4256;NA;0.9026;-0.1845;2.3078;NA;NA;NA
1058;0.4033;-0.7701;2.2719;NA;0.8913;-0.1299;2.2476;NA;NA;NA
1059;-0.3957;-1.2231;1.8949;NA;0.8734;-0.0895;2.1814;NA;NA;NA
1060;0.7723;-0.6431;2.3519;NA;0.8154;-0.0678;2.0483;NA;NA;NA
1061;1.3373;-0.3551;3.1269;NA;0.7197;-0.0543;1.8473;NA;NA;NA
1062;2.7263;1.6039;4.2624;NA;0.6441;-0.0443;1.6917;NA;NA;NA
1063;-0.6117;-0.8281;1.7829;NA;0.5893;-0.0274;1.5675;NA;NA;NA
1064;0.1573;0.2649;0.6869;NA;0.5239;-0.0037;1.411;NA;NA;NA
1065;-1.4547;-1.5841;-1.7176;NA;0.458;0.015;1.2614;NA;NA;NA
1066;1.1758;0.9264;2.0849;NA;0.4016;0.017;1.1578;NA;NA;NA
1067;1.7343;1.5934;2.0989;NA;0.3318;-0.0178;1.069;NA;NA;NA
1068;0.1173;-0.0621;0.0144;NA;0.2405;-0.0806;0.9612;NA;NA;NA
