Year;Cor reconstruction;Cor & Stat reconstruction;Villalba reconstruction;Cor reconstruction 30yr filtered;Cor & Stat reconstruction 30yr filtered;Villalba reconstruction 30yr filtered;Target SAM (Marshall);Target SAM (Marshall) 30yr filtered
1000;-0.0801;-1.0801;NA;NA;NA;NA;NA;NA
1001;2.9504;2.7384;NA;NA;NA;NA;NA;NA
1002;3.0304;2.8469;NA;NA;NA;NA;NA;NA
1003;4.5729;4.6229;NA;NA;NA;NA;NA;NA
1004;4.1129;4.2179;NA;NA;NA;NA;NA;NA
1005;4.3954;4.5539;NA;NA;NA;NA;NA;NA
1006;5.0879;5.3729;NA;NA;NA;NA;NA;NA
1007;1.8594;1.2874;NA;NA;NA;NA;NA;NA
1008;4.1589;4.2719;NA;NA;NA;NA;NA;NA
1009;1.6679;1.0364;NA;NA;NA;NA;NA;NA
1010;1.3739;0.8569;NA;NA;NA;NA;NA;NA
1011;-0.6891;-1.9211;NA;NA;NA;NA;NA;NA
1012;-1.5111;-2.7591;NA;NA;NA;NA;NA;NA
1013;-5.2521;-7.2511;NA;NA;NA;NA;NA;NA
1014;-1.9616;-3.2331;NA;NA;NA;NA;NA;NA
1015;-0.3441;-1.2361;NA;-0.798;-1.8024;NA;NA;NA
1016;-1.6626;-3.0311;NA;-0.6723;-1.6301;NA;NA;NA
1017;-0.7321;-1.6056;NA;-0.3277;-1.1851;NA;NA;NA
1018;-0.1961;-0.9386;NA;0.0574;-0.6907;NA;NA;NA
1019;1.3439;0.9409;NA;0.3046;-0.3708;NA;NA;NA
1020;3.7574;3.9539;NA;0.5246;-0.0895;NA;NA;NA
1021;1.4424;1.0349;NA;0.8622;0.3343;NA;NA;NA
1022;2.7434;2.6529;NA;1.1907;0.7455;NA;NA;NA
1023;0.1009;-0.4876;NA;1.3833;0.9889;NA;NA;NA
1024;1.6474;1.4374;NA;1.3987;1.0086;NA;NA;NA
1025;2.3504;2.1069;NA;1.3192;0.9047;NA;NA;NA
1026;0.5094;-0.4321;NA;1.2033;0.7561;NA;NA;NA
1027;0.0974;-0.5411;NA;1.1097;0.6416;NA;NA;NA
1028;0.2169;-0.5501;NA;1.007;0.5199;NA;NA;NA
1029;0.6754;0.3269;NA;0.8487;0.3286;NA;NA;NA
1030;-0.2471;-0.8136;NA;0.6709;0.1152;NA;NA;NA
1031;0.2339;-0.5281;NA;0.5094;-0.0728;NA;NA;NA
1032;2.0644;1.7839;NA;0.343;-0.2597;NA;NA;NA
1033;-0.2256;-0.9946;NA;0.1481;-0.4763;NA;NA;NA
1034;0.7029;0.0194;NA;-0.0418;-0.6848;NA;NA;NA
1035;0.5529;0.1514;NA;-0.1936;-0.8478;NA;NA;NA
1036;-0.2201;-0.7286;NA;-0.3439;-1.0055;NA;NA;NA
1037;-0.0666;-0.7761;NA;-0.5224;-1.1918;NA;NA;NA
1038;-0.3991;-0.8811;NA;-0.6854;-1.3591;NA;NA;NA
1039;-1.9651;-2.8301;NA;-0.7893;-1.4599;NA;NA;NA
1040;-0.9166;-1.6006;NA;-0.8633;-1.5254;NA;NA;NA
1041;-2.1701;-3.0576;NA;-0.9437;-1.5951;NA;NA;NA
1042;-1.9211;-2.8646;NA;-0.9971;-1.6336;NA;NA;NA
1043;-2.3641;-3.4751;NA;-0.9898;-1.6056;NA;NA;NA
1044;-0.8201;-1.3996;NA;-0.8823;-1.4686;NA;NA;NA
1045;3.4489;4.1479;NA;-0.6926;-1.2412;NA;NA;NA
1046;-1.4116;-2.0076;NA;-0.4739;-0.9791;NA;NA;NA
1047;-1.3761;-2.1496;NA;-0.2794;-0.7383;NA;NA;NA
1048;1.3154;1.3424;NA;-0.0455;-0.443;NA;NA;NA
1049;-0.5306;-1.0051;NA;0.2718;-0.0466;NA;NA;NA
1050;-0.6066;-1.3356;NA;0.5897;0.3512;NA;NA;NA
1051;-0.0641;-0.5341;NA;0.8258;0.6507;NA;NA;NA
1052;2.5504;2.6329;NA;1.0284;0.9132;NA;NA;NA
1053;0.9549;0.8034;NA;1.2597;1.2139;NA;NA;NA
1054;3.0219;3.2889;NA;1.4577;1.4736;NA;NA;NA
1055;-1.9646;-2.8156;NA;1.56;1.6133;NA;NA;NA
1056;3.8799;4.7914;NA;1.553;1.6192;NA;NA;NA
1057;3.7814;4.7249;NA;1.4854;1.5542;NA;NA;NA
1058;0.1699;-0.2106;NA;1.3885;1.4534;NA;NA;NA
1059;-0.0976;-0.3441;NA;1.2936;1.352;NA;NA;NA
1060;2.1144;2.3434;NA;1.1057;1.1314;NA;NA;NA
1061;3.7059;4.4894;NA;0.8201;0.7887;NA;NA;NA
1062;2.0494;2.1769;NA;0.6045;0.5328;NA;NA;NA
1063;-2.2521;-3.1421;NA;0.4455;0.3464;NA;NA;NA
1064;-1.6611;-2.1441;NA;0.2469;0.1091;NA;NA;NA
1065;-1.4086;-1.8546;NA;0.0513;-0.1258;NA;NA;NA
1066;-0.7111;-1.2796;NA;-0.0985;-0.3047;NA;NA;NA
1067;0.7024;0.5614;NA;-0.1956;-0.4173;NA;NA;NA
1068;-1.3816;-1.9371;NA;-0.2679;-0.4982;NA;NA;NA
1069;1.7979;2.3089;NA;-0.3251;-0.5607;NA;NA;NA
1070;-0.1146;-0.2466;NA;-0.3766;-0.6186;NA;NA;NA
1071;-0.8346;-1.0851;NA;-0.3857;-0.6286;NA;NA;NA
1072;1.1909;1.6089;NA;-0.3403;-0.5746;NA;NA;NA
1073;-0.7691;-1.2121;NA;-0.2864;-0.5102;NA;NA;NA
1074;-0.2411;-0.7216;NA;-0.2703;-0.4892;NA;NA;NA
1075;-0.2561;-0.4176;NA;-0.2975;-0.5219;NA;NA;NA
1076;-1.1566;-1.3971;NA;-0.339;-0.5757;NA;NA;NA
1077;-1.6381;-2.4346;NA;-0.3894;-0.64;NA;NA;NA
1078;-0.5791;-1.0716;NA;-0.4432;-0.7043;NA;NA;NA
1079;1.1019;1.3139;NA;-0.5021;-0.7709;NA;NA;NA
1080;-0.5951;-1.0441;NA;-0.5675;-0.844;NA;NA;NA
1081;-1.5461;-1.9806;NA;-0.6337;-0.9163;NA;NA;NA
1082;-0.1291;0.0624;NA;-0.6944;-0.9806;NA;NA;NA
1083;0.4824;0.5409;NA;-0.7458;-1.0291;NA;NA;NA
1084;-1.4861;-2.1256;NA;-0.7925;-1.0668;NA;NA;NA
1085;-0.8561;-1.0631;NA;-0.8411;-1.1058;NA;NA;NA
1086;-0.0201;-0.0761;NA;-0.8985;-1.1581;NA;NA;NA
1087;-2.1301;-2.6381;NA;-1.0168;-1.2872;NA;NA;NA
1088;-0.7016;-0.9631;NA;-1.196;-1.4908;NA;NA;NA
